"Slashpile1"	"Slashpile10"	"Slashpile13"	"Slashpile14"	"Slashpile15"	"Slashpile16"	"Slashpile17"	"Slashpile18"	"Slashpile19"	"Slashpile2"	"Slashpile20"	"Slashpile22"	"Slashpile23"	"Slashpile24"	"Slashpile25"	"Slashpile26"	"Slashpile27"	"Slashpile28"	"Slashpile3"	"Slashpile4"	"Slashpile40"	"Slashpile5"	"Slashpile6"	"Slashpile7"	"Slashpile8"	"Slashpile9"
"Taxa_00038"	0.220305148558764	0.140364049222983	0.147051756621335	0.151874401179994	0.159588610958669	0.113905800884996	0.229911292255477	0.206804013616888	0.169800742540271	0.0438423632021414	0.179432604581044	0.242127364707149	0.178088521202098	0.284975360813919	0.212533740996552	0.0980345044142236	0.16257183382521	0.230953979202287	0.267582122376068	0.151874401179994	0.150284049489607	0.248976762288248	0.26578020206499	0.255642710788023	0.183405763800101	0.187294657701334
"Taxa_00039"	0.207921787867399	0.203591279970227	0.190528827850182	0.14280999061542	0.156271655485665	0.101145181950631	0.190528827850182	0.279547235697901	0.125333690962004	0.0832480367817245	0.217843093741479	0.215252352696925	0.180202952488407	0.264129460660199	0.237554033190841	0.144646850543614	0.141416689096862	0.221895637814083	0.21028909513125	0.167877807409376	0.167681113952953	0.192938502272181	0.254067303497754	0.24881741286246	0.202616375980466	0.197502724662452
"Taxa_00040"	0.219472375229627	0.165344079672992	0.185488011720693	0.180919890269653	0.304329920912333	0.102052581559767	0.253669370491902	0.0862501735112658	0.189946303699253	0.0510262907798833	0.204560247660242	0.284429481917957	0.243188784330716	0.196680656496164	0.0934929601954075	0.118887659655553	0.174643290641141	0.0681867492200806	0.280147149091567	0.122736148596145	0.113280335641266	0.288325957751526	0.218197597504258	0.223669167738013	0.183471777799812	0.210828312314956
"Taxa_00051"	0.206040845923034	0.21915164670579	0.221099699653717	0.193150284985685	0.237012567427032	0.0463042366610398	0.206040845923034	0.157706547296028	0.194257172471453	0.180527148811407	0.192037017586452	0.200770385903693	0.194257172471453	0.174487733451995	0.129320695155649	0.185216946644159	0.189790893328406	0.105589905437784	0.21320071635561	0.153573779208488	0.222067317841947	0.231521183305199	0.260294067768103	0.225896346849004	0.257811078729385	0.163054042961969
"Taxa_00053"	0.182414243460216	0.202148414090546	0.220120436174115	0.177548986851655	0.184007411206363	0.130112888252601	0.273354547608395	0.179185417637021	0.187153064902172	0.120806783926298	0.1917748241751	0.200699302832915	0.165641916796796	0.199239652167719	0.289936281423116	0.177548986851655	0.175897332470804	0.275481852436053	0.169129497496817	0.138796427678281	0.225362133173036	0.199239652167719	0.17254660021842	0.233003686748791	0.170846592255247	0.142940514409531
"Taxa_00118"	0.0587693266548849	0	0.0151741748934795	0.0339304865642909	0.0151741748934795	0.302343292844522	0.187694177602235	0.377833907812283	0.0214595239321801	0.0151741748934795	0.21351956718808	0.0262824418784426	0.0643785717965402	0.0262824418784426	0.455225246804386	0.0711731890626934	0.0214595239321801	0.660730343401321	0.0151741748934795	0.0587693266548849	0.0151741748934795	0.0455225246804386	0.113553127156775	0.0151741748934795	0.0695368050578684	0.0214595239321801
"Taxa_00148"	0.0591398561730303	0.403280052010699	0.234082294392261	0.206989496605606	0.0935083230007724	0.206284249251759	0.0418181933383469	0.0381746130092081	0.0170722059406674	0.37983260360569	0.149807999143581	0.074416020438684	0.148832040877368	0.103846174605426	0.0341444118813348	0.266676381830219	0.181480038494329	0.0295699280865152	0.0870515112315378	0.327946366935398	0.380981872808824	0.123109427808715	0.185451625634034	0.153649853466007	0.164638391811546	0.0980723565407626
"Taxa_00212"	0.201759048820415	0.195352359007029	0.209997476007043	0.218248731574601	0.294111827005397	0.0265840888675675	0.18910239901833	0.103643858814522	0.194990259791169	0.0928542305294082	0.138645644868454	0.226823198220295	0.207287717629045	0.177934755978586	0.123551680149824	0.197152879640471	0.199646330404083	0.117090765433587	0.229610208955388	0.169805542493418	0.206604724939899	0.263973443358582	0.273183043516646	0.242192575890043	0.171049555772692	0.198937104963978
"Taxa_00216"	0.268538034654941	0.233768875866621	0.263240906106721	0.237356331638771	0.237356331638771	0.0671345086637351	0.123333967768956	0.138401335172262	0.182316857749683	0.136350831665137	0.125597165124552	0.108770335641171	0.127820296389165	0.167836271659338	0.138401335172262	0.146316269444739	0.240890367208995	0.140421899499882	0.167836271659338	0.140421899499882	0.220115206710832	0.210966922178623	0.246667935537911	0.194284530710089	0.378283744759533	0.166149432147139
"Taxa_00226"	0.219482932081479	0.198276069606284	0.188248322134005	0.174510865226063	0.159595279935311	0.097020964500475	0.191167074828117	0.159595279935311	0.225701809375247	0.124514561272938	0.133111665127944	0.283351246909447	0.232945413973903	0.225701809375247	0.259908834856231	0.16638958140993	0.169684744493554	0.143133730033529	0.251242758279796	0.16638958140993	0.12671852991977	0.225701809375247	0.225701809375247	0.206484040339026	0.231753869515565	0.174510865226063
